Dt_Pedido,Dt_Emissao,Dt_Entrega,Mes_Base,Ano_Exec,CO_Fabrica,CO_Cliente,Incoterm,Veiculo,Qtd_pallets,Qtd_Transp,Moeda,Vlr_Frete
11/01/23,15/01/23,18/01/23,1,2023,3403208,2327,FOB,P12,12,1500,BRL,0
23/01/23,27/01/23,01/02/23,1,2023,3403208,2327,FOB,P24,24,3000,BRL,0
19/01/23,27/01/23,31/01/23,1,2023,3403208,2327,FOB,P12,12,1800,BRL,0
24/01/23,27/01/23,01/02/23,1,2023,3403208,2327,FOB,P12,12,1500,BRL,0
12/01/23,27/01/23,01/02/23,1,2023,3403208,2327,FOB,P12,12,1800,BRL,0
16/01/23,27/01/23,01/02/23,1,2023,3403208,2327,FOB,P24,24,3600,BRL,0
19/01/23,27/01/23,30/01/23,1,2023,3403208,2327,FOB,P24,24,3600,BRL,0
30/12/22,10/01/23,13/01/23,1,2023,3403208,2325,FOB,P12,12,1500,BRL,0
04/01/23,10/01/23,13/01/23,1,2023,3403208,2325,FOB,P12,12,1500,BRL,0
10/01/23,15/01/23,19/01/23,1,2023,3403208,2325,FOB,P12,12,1800,BRL,0
08/01/23,15/01/23,18/01/23,1,2023,3403208,2325,FOB,P12,12,1500,BRL,0
08/01/23,15/01/23,19/01/23,1,2023,3403208,2325,FOB,P24,24,3600,BRL,0
13/01/23,27/01/23,01/02/23,1,2023,3403208,2325,FOB,P24,24,3000,BRL,0
19/01/23,27/01/23,30/01/23,1,2023,3403208,2325,FOB,P12,12,1500,BRL,0
12/01/23,27/01/23,01/02/23,1,2023,3403208,2325,FOB,P24,24,2400,BRL,0
16/01/23,27/01/23,31/01/23,1,2023,3403208,2325,FOB,P24,24,3000,BRL,0
12/01/23,15/01/23,20/01/23,1,2023,3403208,2333,FOB,P12,12,1500,BRL,0
21/01/23,27/01/23,30/01/23,1,2023,3403208,2333,FOB,P12,12,1500,BRL,0
24/01/23,27/01/23,30/01/23,1,2023,3403208,2333,FOB,P12,12,1800,BRL,0
19/01/23,27/01/23,30/01/23,1,2023,3403208,2333,FOB,P24,24,3000,BRL,0
13/01/23,27/01/23,31/01/23,1,2023,3403208,2333,FOB,P24,24,3000,BRL,0
23/12/22,06/01/23,08/01/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

01/01/23,06/01/23,09/01/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

28/12/22,12/01/23,16/01/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

11/01/23,14/01/23,19/01/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

09/01/23,15/01/23,19/01/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

12/01/23,15/01/23,19/01/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

13/01/23,16/01/23,20/01/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

04/01/23,18/01/23,21/01/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

09/01/23,21/01/23,25/01/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

25/01/23,29/01/23,01/02/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

20/01/23,30/01/23,04/02/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

20/01/23,31/01/23,04/02/23,1,2023,3403208,2328,CIF,P12,12,1500,BRL,1571.895

31/12/22,08/01/23,13/01/23,1,2023,3403208,2328,CIF,P12,12,1800,BRL,1827.228

05/01/23,18/01/23,21/01/23,1,2023,3403208,2328,CIF,P12,12,1800,BRL,1827.228

29/12/22,11/01/23,14/01/23,1,2023,3403208,2328,CIF,P24,24,2400,BRL,2147.431

15/01/23,27/01/23,31/01/23,1,2023,3403208,2328,CIF,P24,24,2400,BRL,2147.431

20/01/23,30/01/23,04/02/23,1,2023,3403208,2328,CIF,P24,24,2400,BRL,2147.431

30/12/22,05/01/23,09/01/23,1,2023,3403208,2328,CIF,P24,24,3000,BRL,2569.97

21/01/23,27/01/23,31/01/23,1,2023,3403208,2328,CIF,P24,24,3000,BRL,2569.97

31/12/22,08/01/23,11/01/23,1,2023,3403208,2328,CIF,P24,24,3600,BRL,2063.932

31/12/22,13/01/23,17/01/23,1,2023,3403208,2328,CIF,P24,24,3600,BRL,2063.932

03/01/23,16/01/23,21/01/23,1,2023,3403208,2328,CIF,P24,24,3600,BRL,2063.932

09/01/23,18/01/23,20/01/23,1,2023,3403208,2328,CIF,P24,24,3600,BRL,2063.932

20/01/23,24/01/23,29/01/23,1,2023,3403208,2328,CIF,P24,24,3600,BRL,2063.932

04/01/23,10/01/23,15/01/23,1,2023,3403208,2328,FOB,P12,12,1500,BRL,0
30/12/22,10/01/23,14/01/23,1,2023,3403208,2328,FOB,P24,24,3000,BRL,0
04/01/23,15/01/23,19/01/23,1,2023,3403208,2328,FOB,P12,12,1800,BRL,0
02/01/23,15/01/23,17/01/23,1,2023,3403208,2328,FOB,P12,12,1500,BRL,0
07/01/23,15/01/23,17/01/23,1,2023,3403208,2328,FOB,P12,12,1500,BRL,0
29/12/22,06/01/23,11/01/23,1,2023,3424402,2337,CIF,P12,12,1500,BRL,1571.895

03/01/23,06/01/23,09/01/23,1,2023,3424402,2337,CIF,P12,12,1500,BRL,1571.895

29/12/22,12/01/23,17/01/23,1,2023,3424402,2337,CIF,P12,12,1500,BRL,1571.895

20/01/23,24/01/23,29/01/23,1,2023,3424402,2337,CIF,P12,12,1500,BRL,1571.895

15/01/23,27/01/23,31/01/23,1,2023,3424402,2337,CIF,P12,12,1500,BRL,1571.895

18/01/23,30/01/23,03/02/23,1,2023,3424402,2337,CIF,P12,12,1500,BRL,1571.895

21/01/23,31/01/23,05/02/23,1,2023,3424402,2337,CIF,P12,12,1500,BRL,1571.895

01/01/23,05/01/23,09/01/23,1,2023,3424402,2337,CIF,P12,12,1800,BRL,1735.877

02/01/23,11/01/23,15/01/23,1,2023,3424402,2337,CIF,P12,12,1800,BRL,1735.877

11/01/23,15/01/23,20/01/23,1,2023,3424402,2337,CIF,P12,12,1800,BRL,1735.877

08/01/23,15/01/23,18/01/23,1,2023,3424402,2337,CIF,P12,12,1800,BRL,1735.877

12/01/23,26/01/23,31/01/23,1,2023,3424402,2337,CIF,P12,12,1800,BRL,1735.877

25/01/23,30/01/23,01/02/23,1,2023,3424402,2337,CIF,P12,12,1800,BRL,1735.877

12/01/23,18/01/23,22/01/23,1,2023,3424402,2337,CIF,P24,24,3000,BRL,2569.97

14/01/23,18/01/23,22/01/23,1,2023,3424402,2337,CIF,P24,24,3000,BRL,2569.97

17/01/23,26/01/23,31/01/23,1,2023,3424402,2337,CIF,P24,24,3000,BRL,2569.97

30/12/22,06/01/23,10/01/23,1,2023,3424402,2337,CIF,P24,24,2400,BRL,2040.064

07/01/23,21/01/23,25/01/23,1,2023,3424402,2337,CIF,P24,24,2400,BRL,2040.064

26/01/23,30/01/23,02/02/23,1,2023,3424402,2337,CIF,P24,24,2400,BRL,2040.064

26/12/22,07/01/23,09/01/23,1,2023,3424402,2337,CIF,P24,24,3600,BRL,2063.932

07/01/23,17/01/23,20/01/23,1,2023,3424402,2337,CIF,P24,24,3600,BRL,2063.932

13/01/23,24/01/23,29/01/23,1,2023,3424402,2337,CIF,P24,24,3600,BRL,2063.932

01/01/23,10/01/23,14/01/23,1,2023,3424402,2337,FOB,P12,12,1800,BRL,0
01/01/23,15/01/23,20/01/23,1,2023,3424402,2337,FOB,P24,24,3000,BRL,0
28/12/22,03/01/23,05/01/23,1,2023,3403208,2324,CIF,P12,12,1500,BRL,1633.294

25/12/22,07/01/23,11/01/23,1,2023,3403208,2324,CIF,P12,12,1500,BRL,1633.294

01/01/23,07/01/23,12/01/23,1,2023,3403208,2324,CIF,P12,12,1500,BRL,1633.294

24/12/22,08/01/23,13/01/23,1,2023,3403208,2324,CIF,P12,12,1500,BRL,1633.294

30/12/22,08/01/23,13/01/23,1,2023,3403208,2324,CIF,P12,12,1500,BRL,1633.294

